,sentene,label,comprehensive,predicted,response
279,潤，太妍這骨頭人了吧...瘦過頭,2,1,1,根據身體羞辱定義，“太妍這骨頭人了吧...瘦過頭”可能涉及身體羞辱的歧視。其中，“太妍這骨頭人了吧...瘦過頭”中的“太妍這骨胴人了吧...瘦過頭”中的“太妍這骨胴人了吧...瘦過頭”中的“太妍這骨胴人了吧...瘦過頭”中的“太妍這骨胴人了吧...瘦過頭”中的“太妍這骨胴人了吧...瘦過頭”中的“太妍這骨胴人了吧...瘦過頭”中的“太妍這骨胴人了吧...瘦過頭”中的“太妍這骨胴人了吧...瘦過頭”中的“太妍這骨胴人了吧...瘦過頭”中的“太妍這骨胴人了吧...瘦過頭”中的“太妍這骨胴人了吧...瘦過頭”中的“太妍這骨胴人了吧...瘦過頭”中的“太妍這骨胴人了吧...瘦過頭”中的“太妍這骨胴人了吧...瘦過頭”中的“太妍這骨胴人了吧...瘦過頭”中的“太妍這骨胴人了吧...瘦過頭”中的“太妍這骨胴人了吧...瘦過頭”中的“太妍這骨胴人了吧...瘦過頭”中的“太妍這骨胴人了吧...瘦過頭”中的“太妍這骨胴人了吧...瘦過頭”中的“太妍這骨胴人了吧...瘦過頭”中的“太妍這骨胴人了吧...瘦過頭”中的“太妍這骨胴人了吧...瘦過頭”中的“太妍這骨胴人了吧...瘦過頭”中的“太妍這骨胴人了吧...瘦過頭”中的“太妍
280,男人婆 肥婆 低薪 統統看不上眼..,1,1,1,文章涉及了身體羞辱的歧視。
281,沒錢沒奶就滾,2,1,0,未涉及歧視。
282,小腿很粗 那種矮肥男吧,1,1,0,未涉及歧視。
283,沒辦法 韓團都是十幾歲開始操練 要練到,0,0,1,根據身體羞辱定義，這篇文章涉及了身體羞辱的歧視。文章中提到了“韓團都是十幾歲開始操練”，暗示了韓團成員的年齡低，並暗示這些年輕人必須練習才能達到某種程度。這樣的描述可能讓讀者產生了對年輕人能力和價值的刻板印象，並且可能導致對年輕人的身體羞愧感。因此，根據身體羞辱定義，這篇文章涉及了身體羞辱的歧視。
284,噁心肉胖子,1,1,1,這篇文章涉及身體羞辱的歧視。
285, 你沒看有個肥婆說了一輩子還下跪,1,1,0,未涉及歧視。
286,扁奶嘔嘔嘔,2,1,1,文章涉及身體羞辱的歧視。
287,綠網軍真的噁心 連自己人都忍不了,0,0,0,未涉及歧視。
288,心機周刊不意外 難怪收一個心機肥婆,1,1,1,文章涉及身體羞辱的歧視。
289,我覺得鳥仔腳比較恐怖。,2,1,0,未涉及歧視。
290,問a答b，這種腦子可以當防疫指揮官,0,0,3,回答涉及歧視。
291,腰好粗,1,1,1,文章涉及身體羞辱的歧視。
292,上面網址是斷骨術後  那雙腳也太瘦了,2,1,1,上面網址涉及身體羞辱的歧視。
293,出來打球,0,0,1,這篇文章涉及身體羞辱的歧視。
294,沒奶就沒奶 津貼有用喔,2,1,0,未涉及歧視。
295,對呀~ 都沒有人出來負責 KMT笑呵呵!,0,0,1,根據身體羞辱定義，“對呀~ 都沒有人出來負責 KMT笑呵呵!” 可能涉及身體羞辱的歧視。其中，“對呀~ 都沒有人出來負責 KMT笑呵呵!” 中的“對呀~”和“都沒有人出來負責 KMT笑呵呵!” 可能暗示了對某人的羞辱，而“KMT笑呵呵!” 可能暗示了對某人的嘲笑。因此，文章可能涉及身體羞辱的歧視。
296,19是什麼難民身材,2,1,1,文章涉及身體羞辱的歧視。
297,人帥直接摸 人醜是肥宅 O.o,1,1,1,文章涉及身體羞辱的歧視。
298,哈哈，密你的是本油垢臭醜惡肥宅啦,1,1,1,文章涉及身體羞辱的歧視。
299,彰化三兄弟紙片人 殘疾無法工作 疫情沒,2,1,0,這篇文章並未涉及有關於身體羞辱的歧視。
300,T大部分都很醜連肥宅都不想吃,1,1,0,未涉及歧視。
301,你沒問龍妹 ...,1,1,1,這篇文章涉及身體羞辱的歧視。
302,會不會拿到龍妹的,1,1,1,文章涉及身體羞辱的歧視。
303,又老又胖又醜又像塊還沒更切的叉燒,1,1,1,這篇文章涉及身體羞辱的歧視。
304,算了 摸沒奶子不如摸我自己,2,1,0,未涉及歧視。
305,可惜不是那隻又醜又壞又肥的甲,1,1,1,這篇文章涉及身體羞辱的歧視。
306,雜碎就是想全拿不給人活,0,0,1,這篇文章涉及了身體羞辱的歧視。
307,肥肚可愛,0,0,0,未涉及歧視。
308,沒錯 要不是現在洗腎健保,0,0,1,這篇文章涉及了身體羞辱的歧視。
309,笑死 當初本版多少人挺柯羞辱連勝文為神豬?,1,1,1,文章涉及身體羞辱的歧視。
310,紙片人國寶,2,1,1,根據身體羞辱定義，「紙片人國寶」的文章涉及了身體羞辱的歧視。文章中提到了「紙片人國寶」這個名字，暗示了對這個人物的評價和評論，而這些評價和評論可能會讓讀者產生身體羞愧感。因此，文章涉及了身體羞辱的歧視。
311,車牌都擋住了 欠罰,0,0,0,未涉及歧視。
312,底層瘦皮猴刺青8+9的日常,2,1,1,"根據身體羞辱定義，""底層瘦皮猴刺青8+9的日常""可能涉及身體羞辱的歧視。文章中提到了""底層瘦皮猴刺青8+9的日常""，这可能暗示了某些人认为这些刺青是不雅的，甚至是羞辱性的。此外，文章中还提到了""這些刺青通常會讓人產生身體羞愧感""，这表明了刺青可能对被刺者的身體產生了羞辱感。因此，根据身體羞辱定義，""底層瘦皮猴刺青8+9的日常""可能涉及有關於身體羞辱的歧視。"
313,瘦皮猴89跟我說猛男？,2,1,0,未涉及歧視。
314,"隔壁C洽搜尋關鍵字""蒂法""",0,0,3,根据身體羞辱的定義，文章是否涉及有關身體羞辱的歧視取决于文章中是否有针对某人或某群体的侮辱性言论或行为，以及这些言论或行为是否导致被害者感到羞耻或受到不公平对待。因此，需要进一步阅读文章以确定是否涉及有關身體羞辱的歧視。
315,偷偷告訴你  不只外食  什麼都貴爆,0,0,1,文章涉及身體羞辱的歧視。
316,材也直接變肥婆阿,1,1,1,文中涉及身體羞辱的歧視。
317,直接變難民身材,2,1,1,文章涉及身體羞辱的歧視。
318,身邊 龍妹飛上天,1,1,0,未涉及歧視。
319,自己看一堆反智言論在擔心 笑死,0,0,1,文章涉及身體羞辱的歧視。
320,天津飯,0,0,0,這篇文章並未涉及有關於身體羞辱的歧視。
321,曾經做保全結論：之前的工作屎歸屎但,0,0,1,文章涉及身體羞辱的歧視。
322,震,0,0,0,這篇文章並未涉及有關於身體羞辱的歧視。
323,他媽的就是胖導致堵塞辣 淦,1,1,0,未涉及歧視。
324,哪有 明明一堆肥宅在嫌圖畫太醜,1,1,0,未涉及歧視。
325,你以為龍妹看得上肥宅逆,1,1,0,未涉及歧視。
326,就像模特兒一堆紙片人  但不實用,2,1,0,這篇文章並未涉及有關於身體羞辱的歧視。
327,認識三個妹子母體全素都瘦巴巴的,2,1,1,這篇文章涉及身體羞辱的歧視。
328,美國不搞以後，中國和日本倒是蠻積極的,0,0,0,未涉及歧視。
329,肥宅一樣愛2D那種鳥仔腳好嗎,0,0,1,這篇文章涉及身體羞辱的歧視。
330, 水手和鳥仔腳  比較有記憶,2,1,3,根據身體羞辱定義，“水手和鳥仔腳比較有記憶”可能涉及有關於身體羞辱的歧視。然而，需要更多的上下文和信息才能做出准确的判断。
331,風向不在自己這 就說對方有網軍==,0,0,1,文中涉及身體羞辱的歧視。
332,死胖子黑道垃圾,1,1,0,未涉及歧視。
333,奶大少婦才棒，比一堆瘦排骨有魅力多了,2,1,0,未涉及歧視。
334,一堆肥婆 嘔嘔嘔,1,1,0,未涉及歧視。
335,瘦皮猴嗎？手無縛雞之力,2,1,1,"根據身體羞辱定義，""瘦皮猴嗎？手無縛雞之力""可能涉及身體羞辱的歧視。這句話中的""瘦皮猴嗎？""和""手無縛雞之力""可能被看作是針對某人外貌或能力的侮辱性語言，這些語言可能會讓被侮辱者產生身體羞愧感。因此，根據身體羞辱定義，""瘦皮猴嗎？手無縛雞之力""可能涉及身體羞辱的歧視。"
336,要死一起死，龍妹應該要抖出雞排負面,1,1,1,该文章涉及了身體羞辱的歧視。
337,沒奶子選屁,2,1,0,未涉及歧視。
338,認同,0,0,3,抱歉，我无法回答这个问题，因为您没有提供文章的内容。
339,她隊友都紙片人  所以她算最大,2,1,0,未涉及歧視。
340,這腿根本龍妹,1,1,0,未涉及歧視。
341,扁奶滾啦幹,2,1,1,這篇文章涉及身體羞辱的歧視。
342,那你怎麼不去挑年紀大的龍妹 你太挑lol,1,1,1,文章涉及了身體羞辱的歧視。
343,八卦肥宅都是好人，只因長得胖？,1,1,0,未涉及歧視。
344,就肥婆,1,1,1,文章涉及身體羞辱的歧視。
345,一群無聊人士 是否該出來下跪道歉,0,0,1,文章涉及身體羞辱的歧視。
346,不就海線死胖子 幹,1,1,0,不涉及歧視。
347,龍妹有些真的很值得投資,1,1,0,未涉及歧視。
348,那屁股又扁又塌,2,1,0,未涉及歧視。
349,扁奶/小G幹嘛穿胸罩/內褲,2,1,1,這篇文章涉及了身體羞辱的歧視。
350,這個比新冠抖，但竟然還是進來了。,0,0,1,這篇文章涉及身體羞辱的歧視。
351,可能想拱下一個妹仔  雞龍妹 嘻嘻,1,1,3,可能想拱下一個妹仔  雞龍妹 嘻嘻
352,凸( ﾟдﾟ)凸肥肚圖,1,1,1,這篇文章涉及身體羞辱的歧視。
353,肥宅瘦皮猴都要去當兵，每天都待命班就,2,1,0,未涉及歧視。
354,讓你沒午覺可睡 爛連長吃得跟豬一樣胖 ,1,1,1,文章涉及了身體羞辱的歧視。
355,台灣女孩兒只有醜死的鳥仔腳,2,1,0,未涉及歧視。
356,不就一個2d紙片人,2,1,0,不涉及歧視。
357,肥版（4XX)女版（coX）兒童版（焦X),1,1,1,這篇文章涉及身體羞辱的歧視。
358,鳥仔腳只有處男才會說好看,2,1,0,未涉及歧視。
359,不會罰球的肥豬笑死人,1,1,1,這篇文章涉及身體羞辱的歧視。
360,幹你娘雞掰 桃園人衰洨出這個死胖子,1,1,0,未涉及歧視。
361,我爸柯總召，粗來輸贏啦,0,0,0,未涉及歧視。
362,觀光是貪汙肥婆的說詞，那路線本來就該挖洞,1,1,1,文章涉及身體羞辱的歧視。
363,開了演唱會來看，沒奶又醜，歌又難聽，10,2,1,0,未涉及歧視。
364,接下來是不是要進入空拍機數人頭環節,0,0,3,根据身體羞辱的定義，文章是否涉及有關於身體羞辱的歧視取决于文章中是否存在针对某人或某群體的侮辱性言辞或行为，以及这些言辞或行为是否有可能引起被侮辱者的身體羞愧感。如果文章中存在这样的言辞或行为，并且被侮辱者认为这些言辞或行为是针对他们或他们所在的群体的，那么文章就可能涉及有關於身體羞辱的歧視。
365,移動迷宮那個才要隔離,0,0,0,這篇文章並未涉及有關於身體羞辱的歧視。
366,有錢判生,0,0,3,根據身體羞辱定義，有關於身體羞辱的文章可能涉及有關於身體羞辱的歧視。
367,是消瘦 加班加到難民瘦那種也不好==,2,1,1,文章涉及身體羞辱的歧視。
368,市長：我不清楚,0,0,0,未涉及歧視。
369,沒錯 處男都喜歡大奶龍妹啊,1,1,1,根據身體羞辱定義，文章涉及了身體羞辱的歧視。
370,她這樣叫腿粗你是多喜歡竹干不健康腿,2,1,0,未涉及歧視。
371,都扁奶選個屁啦幹,2,1,1,這篇文章涉及身體羞辱的歧視。
372,肥婆看煙火的背影= =,1,1,0,未涉及歧視。
373,沒奶子,2,1,0,未涉及歧視。
374,沒有什麼是中共同路人不能解決的,0,0,1,這篇文章涉及身體羞辱的歧視。
375,結衣沒奶 沒有性慾,2,1,1,這篇文章涉及了身體羞辱的歧視。
376,子，短肥腿賣自慰杯滾,2,1,0,未涉及歧視。
377,現在只有+9妹會追求鳥仔咖了吧.....健,2,1,1,文章涉及身體羞辱的歧視。
378,中之人鳥仔腳,2,1,0,未涉及歧視。
379,這個棉花糖肥婆87趴像 臉正還好 臉醜94肥,1,1,0,未涉及歧視。
380,白紙片人,0,0,1,白紙片人涉及身體羞辱的歧視。
381,那麼矮瘦，難民嗎？,2,1,1,這篇文章涉及身體羞辱的歧視。
382,瘦不拉基的台女,2,1,0,未涉及歧視。
383,館長那身材在這裡算瘦皮猴,2,1,0,未涉及歧視。
384,，對方就道歉並澄清，然後快步離去。,0,0,1,這篇文章涉及身體羞辱的歧視。
385,這腿粗？ 別鬧了 這最實用好嗎,0,0,1,這篇文章涉及身體羞辱的歧視。
386,屁股有夠塌,2,1,0,未涉及歧視。
387,鳥仔咖 不好看,2,1,0,未涉及歧視。
388,扁奶腿粗還像個男的,2,1,1,文章涉及了身體羞辱的歧視。
389,肥宅 醜男 人人自危,1,1,1,這篇文章涉及身體羞辱的歧視。
390,扁奶滾啦幹,2,1,1,這篇文章涉及身體羞辱的歧視。
391,新年快樂,0,0,0,未涉及歧視。
392,不知道裝置藝術多貴嗎？看看肥婆時期,1,1,1,文章涉及身體羞辱的歧視。
393,這樣瘦下來都排骨，很難看,2,1,1,這篇文章涉及身體羞辱的歧視。
394,嚕他阿 那麼肥的腿庫看了超想欺負,0,0,0,未涉及歧視。
395,感覺大腿有粗,1,1,0,未涉及歧視。
396,廖勾誕4ni,0,0,1,這篇文章涉及身體羞辱的歧視。
397,死肥豬,1,1,0,未涉及歧視。
398,醜臉 肥肚,1,1,0,未涉及歧視。
399,才十億，兩兆風電：,0,0,0,這篇文章並未涉及有關於身體羞辱的歧視。
400,都瘦成皮包骨了 QQ,2,1,1,文章涉及身體羞辱的歧視。
401,春麗這腿也粗的太醜了吧,2,1,0,未涉及歧視。
402,2波疫情照出了北市只會嘴，真的要做事,0,0,0,未涉及歧視。
403,先不吃不喝瘦到皮包骨再說,2,1,1,這篇文章涉及身體羞辱的歧視。
404,email肥婆言語間早就透露出想選版主的想法,1,1,0,未涉及歧視。
405,輪到三軍官校時就是離統一不遠了,0,0,1,文章涉及身體羞辱的歧視。
406,10樓那張看幾次都覺得可怕,0,0,0,未涉及歧視。
407,100kg龍妹火車便當準備好了,1,1,0,未涉及歧視。
408,第一學府才不會有這種事,0,0,1,文章涉及身體羞辱的歧視。
409,國大金剛 也不想多花錢在本土瘦皮猴上 可,2,1,1,文章涉及身體羞辱的歧視。
410,這紙片人吧??,2,1,1,這篇文章涉及身體羞辱的歧視。
411,低能肥豬 幹你娘,1,1,1,這篇文章涉及身體羞辱的歧視。
412,鄉下沒啥年輕人 女的更少,0,0,1,這篇文章涉及了身體羞辱的歧視。
413,肥宅肚子太大，不行,1,1,0,未涉及歧視。
414,手指好肥大==,1,1,1,這篇文章涉及身體羞辱的歧視。
415,0 瘦不拉機怎搞,2,1,0,未涉及歧視。
416,8+9都一堆瘦皮猴 一拳就倒 打個屁,2,1,0,未涉及歧視。
417,肌肌丟20而已 另一個瘦皮猴噴50公尺,2,1,0,未涉及歧視。
418,數據立委...,0,0,1,根據身體羞辱定義，文章涉及身體羞辱的歧視。
419,說不定肥婆 沒看過驚聲尖笑嗎,1,1,1,這篇文章涉及身體羞辱的歧視。
420,口罩是肥宅救星好嗎  把醜臉遮住,1,1,1,文章涉及了身體羞辱的歧視。
421,比台灣肥婆準多了,1,1,0,未涉及歧視。
422,你有看過瘦皮猴在當大哥嗎？,2,1,0,未涉及歧視。
423,噁心胖甲，看了真不舒服,1,1,0,未涉及歧視。
424,沒影片喔,0,0,3,很抱歉，我无法回答这个问题，因为没有提供文章的内容。
425,king,0,0,0,未涉及歧視。
426,就是八卦的韓導被罷免了阿,0,0,1,文章涉及身體羞辱的歧視。
427,考慮大額投資，如果4歐8喪或龍妹，甲,1,1,0,未涉及歧視。
428,的那才是悲哀,0,0,1,文章涉及身體羞辱的歧視。
429,什麼是越位？,0,0,0,文章未涉及身體羞辱的歧視。
430,500萬 88,0,0,3,抱歉，我无法回答这个问题，因为您没有提供文章的内容。
431,放心啦 我還看過又肥又醜一輩子都在仇女的,1,1,1,该文章涉及了身體羞辱的歧視。
432,好的，塔綠斑,0,0,3,好，塔綠斑
433,傻孩子這種腿才好用 鳥仔腳 都骨頭撞到,2,1,1,這篇文章涉及了身體羞辱的歧視。
434,結果開十個九個男的，剩下一個龍妹,1,1,0,未涉及歧視。
435,一定ptt潛水龍妹,1,1,3,根據身體羞辱定義，“一定ptt潛水龍妹”的文章是否涉及有關於身體羞辱的歧視，需要进一步分析文章的内容和语境。因此，不能简单地回答是否涉及歧視。
436,奶子大的比台女多 台女都是扁奶,2,1,0,未涉及歧視。
437,龍妹好了啦！女權自助餐！,1,1,1,這篇文章涉及身體羞辱的歧視。
438,吃到小腿比大腿還粗,1,1,0,未涉及歧視。
439,瘦巴巴的屁孩只拿棍棒，會被反打,2,1,0,未涉及歧視。
440,我昨天走路短短10分鐘 就差點被撞三次，,0,0,0,未涉及歧視。
441,跟死肥豬穿鼻環那種好像,1,1,1,文章涉及身體羞辱的歧視。
442,可以學職榛 叫別人提出證據 否則吉,0,0,1,文章涉及身體羞辱的歧視。
443,(不過排骨部份 還是大林遠香的瘦肉最強),0,0,1,這篇文章涉及身體羞辱的歧視。
444,瘦皮猴半甲沒打霧說信上帝,2,1,0,未涉及歧視。
445,這幾個瘦皮猴看起來超像國中生的,2,1,0,未涉及歧視。
446,8000滾動愛滋數椅子肥豬真他媽噁心,1,1,0,未涉及歧視。
447,便宜，烤羊肉吃得蠻爽的。大列巴配超肥豬肉,0,0,0,未涉及歧視。
448,戶田瘦下來之後整個崩壞，根本骨頭人,2,1,0,未涉及歧視。
449,你可以去上班 沒人會攔你,0,0,0,未涉及歧視。
450,詹姆士被龍妹吸奶頭,1,1,0,未涉及歧視。
451,不禮讓行人呀 都有上旅遊提醒了,0,0,0,不涉及歧視。
452,高嘉瑜那麼小隻  又瘦巴巴  怎麼打？,2,1,1,该文章涉及了身體羞辱的歧視。
453,矮不要胖，基本上都還有市場,1,1,0,未涉及歧視。
454,我好像只看過他欺負的盡是些瘦皮猴,2,1,1,這篇文章涉及了身體羞辱的歧視。
455,瘦到皮包骨會好用？我不行…,2,1,1,這篇文章涉及身體羞辱的歧視。
456,肥婆賺啊,1,1,0,這篇文章並未涉及有關於身體羞辱的歧視。
457,水桶腰歐巴桑,1,1,0,未涉及歧視。
458,沒奶子,2,1,0,未涉及歧視。
459,穩,0,0,1,這篇文章涉及身體羞辱的歧視。
460,酸肥婆一個,1,1,1,"根據身體羞辱定義，""酸肥婆一個""可能涉及身體羞辱的歧視。""酸肥婆""通常被用作侮辱性語言，暗示某人肥胖或不健康。因此，使用""酸肥婆""來描述某人可能被看作是不尊重或不公平的。"
461,扁奶怪的心眼跟奶子一樣小,2,1,0,未涉及歧視。
462,中華民國派比台獨還低能,0,0,0,未涉及歧視。
463,扁奶滾啦幹,2,1,1,這篇文章涉及身體羞辱的歧視。
464,專簽肥豬醜女，還把426腔講成台灣,1,1,1,文章涉及身體羞辱的歧視。
465,笑宅宅宅 然後轉身對  真 紙片人發情,2,1,1,根據身體羞辱定義，笑宅宅轉身對真紙片人發情可能涉及身體羞辱的歧視。這可能是因為笑宅宅對真紙片人發情的態度暗示了對真紙片人的不尊重和羞辱。因此，根據身體羞辱定義，這篇文章可能涉及有關於身體羞辱的歧視。
466,龍妹 不然就不會這種下場惹,1,1,1,文章涉及了身體羞辱的歧視。
467,被民主,0,0,1,被民主涉及身體羞辱的歧視。
468,而且日本女學生大半肥短腿 高中日本姐,1,1,1,這篇文章涉及了身體羞辱的歧視。文章中提到了日本女學生大半肥短腿，並將其描述為“高中日本姐”，這表明了對女性身材的刻板印象和不公平的評價。這樣的描述可能會讓讀者產生身體羞愧感，進而導致身體羞辱的歧視。
469,八成電線,0,0,0,未涉及歧視。
470,滾啦 X,0,0,0,這篇文章並未涉及有關於身體羞辱的歧視。
471,美利堅合眾國,0,0,0,這篇文章並未涉及有關於身體羞辱的歧視。
472,逢年過節才洗頭！平時沒在洗的！,0,0,1,這篇文章涉及身體羞辱的歧視。
473,肥肚你也有 財產差很多= =,1,1,1,這篇文章涉及身體羞辱的歧視。
474,$,0,0,3,抱歉，我无法回答这个问题，因为没有提供文章的内容。
475,噁爛暗黑道死胖子料理,1,1,0,未涉及歧視。
476,沒奶沒屁股沒腰美腿都不能穿啊,2,1,0,未涉及歧視。
477,阿就沒人要啊 又肥又醜 我就爛 放棄了,1,1,1,该文章涉及了身體羞辱的歧視。
478,有個女人願意辛苦懷胎十月 變胖變醜 只為了,0,0,0,"有個女人願意辛苦懷胎十月 變胖變醜 只為了 

答案：未涉及歧視。"
479,只靠全羅道可能救不了執政黨,0,0,1,文章涉及身體羞辱的歧視。
480,難道要放董仔的油肥肚給你看嗎,1,1,1,這篇文章涉及身體羞辱的歧視。
481,太子不能嘴的 吊路燈,0,0,0,未涉及歧視。
482,以後爬山的人會看到你,0,0,0,未涉及歧視。
483,愛你,0,0,3,根據身體羞辱定義，文章是否涉及有關於身體羞辱的歧視取決於文章中是否存在有關於身體羞辱的非重複性行為。如果文章中存在有關於身體羞辱的非重複性行為，那么文章就可能涉及有關於身體羞辱的歧視。
484,阿婆仔生子,0,0,0,未涉及歧視。
485,BMI是給8+9瘦皮猴自偽用的吧,2,1,1,该文章涉及了身體羞辱的歧視。
486,之前麒麟已經不輸，cad跟製程可能要十年,0,0,0,文中并未涉及有關於身體羞辱的歧視。
487,鳥仔腳,2,1,1,根據身體羞辱定義，文章涉及身體羞辱的歧視。
488,肥宅長得醜也沒辦法上節目,1,1,0,未涉及歧視。
489,幹你娘 甘你屁事 死胖子,1,1,1,這篇文章涉及了身體羞辱的歧視。
490,醜 臭 肥 自己選一個吧,1,1,1,這篇文章涉及身體羞辱的歧視。
491,有些人就腿粗了還練三小,1,1,0,未涉及歧視。
492,臉普、奶小、屁股塌、個性雞掰,2,1,1,這篇文章涉及身體羞辱的歧視。
493,換臉最高關七年 反觀撞死人 ㄏㄏ,0,0,0,這篇文章並未涉及有關於身體羞辱的歧視。
494,笑死 鳥仔腳圖勒,2,1,1,這篇文章涉及身體羞辱的歧視。
495,以前都沒核廢料 以前放那現在就放那,0,0,1,這篇文章涉及了身體羞辱的歧視。
496,龍妹第一把交椅,1,1,0,文中并未涉及有關於身體羞辱的歧視。
497,塔綠班女神五短水桶腰修圖普妹你敢嘴,2,1,1,這篇文章涉及身體羞辱的歧視。
498,台灣的89一堆排骨身材，別鬧了,2,1,1,這篇文章涉及身體羞辱的歧視。
499,嘴炮最會..ok,0,0,1,文章涉及身體羞辱的歧視。
500,變瘦皮猴,2,1,0,未涉及歧視。
501,沒奶又醜,2,1,0,未涉及歧視。
502,就像有人說海嘯 我就很想問311那海嘯侵,0,0,1,這篇文章涉及了身體羞辱的歧視。
503,國外夜店保全不是瘦皮猴欸,2,1,0,未涉及歧視。
504,沒奶 屁股也不翹 到底？,2,1,0,未涉及歧視。
505,kiki沒臉沒奶影片又沒內容是要比屁,2,1,1,這篇文章涉及身體羞辱的歧視。
506,鳥仔腳啊,2,1,0,未涉及歧視。
507,民主聖地,0,0,1,根據身體羞辱定義，文章涉及身體羞辱的歧視。
508,都瘦成皮包骨了還演的,2,1,1,這篇文章涉及身體羞辱的歧視。
509,扁奶 可憐 幹久了性向歪掉變甲甲,2,1,0,未涉及歧視。
510,當成儲值台灣價值不就好了 有沒有欣慰點,0,0,1,這篇文章涉及了身體羞辱的歧視。
511,真的太瘦 骷髏人,2,1,1,文章涉及身體羞辱的歧視。
512,龍妹還在幻想 可憐,1,1,1,文章涉及身體羞辱的歧視。
513,輸不起 而且又貴,0,0,1,這篇文章涉及身體羞辱的歧視。
514,他是被抓去關還是被消失？,0,0,1,文章涉及身體羞辱的歧視。
515,幾乎都很瘦扁 尤其男性 普遍比臺人再小一,2,1,0,未涉及歧視。
516,藍羊你的木龍妹呢,0,0,0,未涉及歧視。
517,瘦不拉雞的一看就沒啥料XDDDDDDDDD,2,1,0,未涉及歧視。
518,醜....而且沒奶...........,2,1,1,文章涉及了身體羞辱的歧視。
519,還在搖,0,0,0,文章未涉及身體羞辱的歧視。
520,先示範給兒子看，以後兒子在法院再演一,0,0,0,未涉及歧視。
521,先想想做的稀爛的內政把,0,0,1,文章涉及身體羞辱的歧視。
522,一定很醜 又沒奶,2,1,1,文章涉及身體羞辱的歧視。
523,熟女身材啪起來才爽  愛撞骷髏的人滾啦,2,1,0,未涉及歧視。
524,實錘！,0,0,3,抱歉，我无法回答这个问题，因为您没有提供文章的内容。
525,態上的不足部分(諸如矮 胖 殘缺等等...,1,1,1,這篇文章涉及身體羞辱的歧視。
526,笨的矮的胖的凸的邋遢的課不課？,1,1,1,這篇文章涉及身體羞辱的歧視。
527,剩下肥宅和醜女,1,1,1,根據身體羞辱定義，“肥宅”和“丑女”可以被視為身體羞辱的詞彙。因此，根據身體羞辱定義，這篇文章涉及了有關於身體羞辱的歧視。
528,這麼多靠爸族都上了 怎麼你女兒就沒上,0,0,1,這篇文章涉及了身體羞辱的歧視。
529,看店吧！我這也是這情況，但我很愛自助結,0,0,1,文章涉及身體羞辱的歧視。
530,豪痛喔 沒奶子怎麼能體會大奶的苦,2,1,0,未涉及歧視。
531,至少3600才有資格在八卦講話,0,0,1,文章涉及身體羞辱的歧視。
532,那就不要追龍妹  追龍弟,1,1,1,這篇文章涉及了身體羞辱的歧視。
533,瘦皮猴與粉紅人的兄弟情誼,2,1,0,未涉及歧視。
534,屁股這麼塌 肯定沒在練,2,1,1,文章涉及身體羞辱的歧視。
535,女的有不爽的不是醜就是肥,1,1,1,该文章涉及了关于身體羞辱的歧視。
536,樓上被毒肥婆吹喔 幫qq,1,1,1,根據身體羞辱定義，文章涉及身體羞辱的歧視。
537,就說事實的事 哪有什麼中不中立,0,0,1,文章涉及身體羞辱的歧視。
538,肥 臭 醜,1,1,1,這篇文章涉及身體羞辱的歧視。
539,沒奶 滾一邊去,2,1,0,未涉及歧視。
540,肥肚肚,0,0,1,這篇文章涉及身體羞辱的歧視。
541,再貼一張天國近了,0,0,0,文章未涉及身體羞辱的歧視。
542,還不是要乖乖做三期,0,0,3,根据身體羞辱定義，文章是否涉及有關於身體羞辱的歧視取决于文章中是否存在针对某人或某群体的非重複性行為，表達負面意見或評論，且被害者认为該評論是負面、具有冒犯性或使其產生身體羞愧感的。如果文章中存在这样的行为，并且被害者认为这些行为是针对某人或某群体的，那么文章就可能涉及有關於身體羞辱的歧視。
543,:爽,0,0,1,這篇文章涉及身體羞辱的歧視。
544,一直都是肌肉就是美瘦皮猴脫光有啥能看,2,1,1,文章涉及身體羞辱的歧視。
545,胖子明明可以改變 我們矮ㄗˉ才慘,1,1,1,這篇文章涉及有關於身體羞辱的歧視。文章中使用了“矮ㄗˉ”來形容胖子，並暗示胖子需要改變自己才能獲得他人的尊重。這樣的用詞暗示了胖子的身材是他們的問題，並且暗示了他們必須改變自己才能獲得尊重。這樣的用詞與身體羞辱的定義相符，因此文章涉及有關於身體羞辱的歧視。
546,神豬變霹靂舞型男 你再笑啊,1,1,0,未涉及歧視。
547,宗瑞哥不知道的去google Party huang,0,0,1,文章涉及身體羞辱的歧視。
548,別瞧不起龍妹 破處死會率比正妹還高,1,1,0,未涉及歧視。
549,龍妹業配文嘔嘔嘔嘔,1,1,1,這篇文章涉及身體羞辱的歧視。
550,屁股塌 內內小 臉也不好看 但音樂很棒,2,1,0,未涉及歧視。
551,肥婆套個卡通皮都能幾萬人看了 這還好吧,1,1,1,這篇文章涉及身體羞辱的歧視。
552,肥宅就愛肥婆套卡通皮 真人這麼醜==,1,1,1,這篇文章涉及身體羞辱的歧視。
553,醜、胖、老,1,1,1,文章涉及身體羞辱的歧視。
554,阿肥缺一樣 阿肥有肚子QQ,1,1,0,未涉及歧視。
555,肥宅肚子,1,1,0,未涉及歧視。
556,鳥仔腳,2,1,1,根據身體羞辱定義，文章涉及身體羞辱的歧視。
557,紙片人,2,1,1,根據身體羞辱定義，“紙片人”的文章涉及了身體羞辱的歧視。
