,sentene,label,comprehensive,predicted,fat_skinny,response_Q1,response_Q2
175,溫你媽啦 操！廢到笑,0,0,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對目標身體使用了惡意的評論，並且使用了粗俗的語言。這種行為可能會被視為對目標身體的侮辱，因此可能涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
176,只是可能偏瘦 有點排骨精的感覺,0,0,1,2,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。然而，該文章提到“只是可能偏瘦”，這讓人覺得該描述可能具有負面意見，因此涉及有關於身體羞辱的歧視。,這篇文章可能是歧視瘦子類型。
177,有些熟店如果是店內價用優惠的確會更便宜,0,0,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者提到“有些熟店”，並且說如果這些店在店內使用優惠，那麼確實會更便宜。這樣的行為可能會被視為對受害者的身體羞辱，因為這樣做會讓受害者感到被冒犯和羞辱。因此，這篇文章可能會被認為涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
178,還好沒開盤，盤中出消息跌九千點不得了,0,0,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，該作者提到盤中出消息跌九千點不得了，這個消息可能會對一些人造成負面意見或評論，特別是那些被該消息影響的人。這種行為符合身體羞辱定義中的一個範圍，即加害者不請自來對目標身體表達負面意見或評論。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是一篇有身體羞辱歧視的文章，判斷該文章是歧視胖子類型。
179,肥宅你醜到我了,1,1,1,1,這篇文章涉及身體羞辱的歧視。在這篇文章中，肥宅是一個特定身體範圍的指称，這讓人們聯想到肥宅時，會產生負面意見和評論。這種行為不符合身體羞辱的定義，因為身體羞辱是一種非重複性行為，加害者不請自來對目標身體表達負面意見或評論。因此，這種行為涉及歧視。,這篇文章是歧視胖子的類型。
180,男生哪有只要大奶就好 龍妹一堆大奶,1,1,1,2,這篇文章涉及身體羞辱的歧視。該文章對於男生的性價值觀提出了負面評論，以大奶為特點，並且與龍妹相連結，從而暗示了性別歧視和物化女性。因此，這篇文章可能會受到對於身體羞辱的批評和反對。,這篇文章是歧視瘦子的。
181,8+9看到對方身材就不會恐嚇說不准報警,0,0,1,1,這篇文章涉及有關於身體羞辱的歧視。該文章提到，看到對方身材時不會恐嚇，但會說不准報警，這樣對於對方來說是負面的評論，且可能會使其產生身體羞恥感，因此涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
182,整天喊抗中保台 能可瘦到皮包骨也,2,1,0,0,這篇文章未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。但是，這篇文章並沒有提到有關於抗中保台或瘦到皮包骨的負面評論，因此沒有涉及身體羞辱的歧視。,Q1 判斷無歧視
183,瘦的和皮包骨一樣,2,1,1,2,這篇文章涉及有關於身體羞辱的歧視。瘦和皮包骨一樣，通常被視為負面評論，因為這種評論可能會讓瘦的人感到自卑或羞愧。然而，在這篇文章中，瘦被視為一種常見的形容方式，而不是一個負面評論。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視瘦子類型。
184,零用錢而已,0,0,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於零用錢而已這個名稱提出了負面意見，該名稱可能暗示了低薪或贫困，這對於一些受過身體羞辱的人來說可能是不公正的。因此，這篇文章可能會對一些人造成歧視，該人可能會認為這個名稱是對他们的冒犯或侮辱。,這篇文章是歧視胖子的類型。
185,都你害的 你當然說向前看,0,0,0,0,這篇文章未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。但被害者認為該評論是負面、具有冒犯性或使其產生身體羞恥感。因此，身體羞辱的範圍從善意的建議到惡意的羞辱。,Q1 判斷無歧視
186,紙片人膩,2,1,0,0,這篇文章並未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。當加害者表達的意見或評論是負面、具有冒犯性或使被害者產生身體羞恥感時，身體羞辱的範圍從善意的建議到惡意的羞辱。因此，這篇文章並未涉及有關於身體羞辱的歧視。,Q1 判斷無歧視
187,你覺得是龍妹 那就不要把他當異性對待,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於一個人名稱為龍妹的對象，使用了將其當為異性對待的行為，這種行為可能會被該人認為有關於身體羞辱，因為這種行為暗示了對方的性別身份。因此，這篇文章可能會被該人認為有關於身體羞辱，並且可能會引起對於性別身份的歧視。,這篇文章是歧視胖子的。
188,但醜萌也不錯 養的肥肥的都可愛啦,1,1,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。該文章描述了一個人養肥肥的可愛的體型，但這個人認為這樣的體型是負面、具有冒犯性的，因此他們對這個體型進行了身體羞辱。這種行為不符合身體羞辱的定義，因為身體羞辱是一種非重複性行為，加害者不請自來的對目標身體，表達負面意見或評論。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
189,其實我覺得肥宅都是吃飯胖的啦,1,1,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。肥宅是一個用來描述那些身材較胖、喜歡玩游戏的人的词汇。這個词汇對於某些人來說是負面的，因為它用來描述那些不符合當前社会對美麗身材的定義的人。對於這些人來說，使用這個词汇可能會使其產生身體羞恥感，並且可能會影響他們的自信。因此，這篇文章對於某些人來說是具有歧視性的。,這篇文章是歧視胖子的。
190,反正中國韭菜割不完，只吃樹皮也要侵略,0,0,1,1,這篇文章涉及身體羞辱的歧視。該文章對中國產生了負面評論，並且用惡意的方式表達了這種評論。此外，該文章還提到了侵略，這也是身體羞辱的一種形式。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
191,瘦皮猴幹嘛運動,2,1,1,2,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。瘦皮猴是一種形容人體的詞語，卻被用來對待運動員，這種行為可能會被視為對運動員的惡意評論，因此涉及歧視。,這篇文章是歧視瘦子的文章。
192,茶妹要面對的醜怪臭肥宅也更多，這哪有,1,1,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。因為文章描述了茶妹要面對更多的醜怪臭肥宅，這讓人們從善意建議到惡意羞辱，並且該描述可能會讓該被害者產生身體羞恥感，因此這是有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
193,，偏偏腦破選個心機肥婆KYT，老媽還袒,1,1,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。在這篇文章中，該作者對於一個女性進行了負面評論，並且選擇了最惡意的評論，這種行為符合身體羞辱的定义。因此，該文章涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
194,唬爛吧，這肥婆憋氣七分鐘?,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，該作者對於一個肥婆表達了負面意見，並且使用了侮辱性的語言。這樣的行为可能會使被該作者該到的肥婆感到冒犯和羞恥，並且可能會對肥婆的身體健康產生負面影響。因此，這篇文章可能會被認為涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
195,:拉板凳就位了~,0,0,0,0,這篇文章並未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。當加害者表達的意見或評論是負面、具有冒犯性或使其產生身體羞恥感時，身體羞辱的範圍從善意的建議到惡意的羞辱。因此，這篇文章並未涉及有關於身體羞辱的歧視。,Q1 判斷無歧視
196,國師有算到自己胖的像豬嗎,1,1,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。國師是一個職位，通常用來指代一個專門為學生提供教學的師傅。在這篇文章中，國師被描述為“胖的像豬”，這種評論可能會對國師造成負面影響，因為這種評論暗示了國師的身體不穩重，這可能會對國師的職業產生負面影響。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
197,鳥仔腳   不好看,2,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對鳥仔腳的評論是負面的，並且使用了身體羞辱的定義來描述。因此，這篇文章可能會被認為有關於身體羞辱的歧視，因為它們使用了與身體羞辱相關的定義和描述方式。,這篇文章有身體羞辱歧視的情況，可以判斷為歧視胖子類型。
198,17歲刁煙的瘦皮猴 跑超快好嗎？最開始他還閃,2,1,1,2,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。由於文章通過對一個17歲的刁煙的瘦皮猴的評論，表達了對他的負面意見，並且使用了“跑超快”這個詞語，暗示了對他的冒犯性評論，因此這篇文章涉及有關於身體羞辱的歧視。,這篇文章有身體羞辱歧視的特點，判斷為歧視瘦子類型。
199,已經夠瘦是要減什麼，想當紙片人？,2,1,0,0,這篇文章並沒有涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中加害者不請自來的對目標身體，表達負面意見或評論。這種行為可能會使被害者產生身體羞恥感，但並不一定有意傷害被害者。因此，這篇文章並沒有涉及有關於身體羞辱的歧視。,Q1 判斷無歧視
200,龍妹不減肥還覺得別人對不起她==,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，龍妹被描述為不減肥，並且覺得別人對不起她。這種行為可能被视为對龍妹的負面評論，並且可能受到身體羞辱的指責。因此，這篇文章可能會引起對身體羞辱的歧視。,這篇文章是歧視胖子的類型。
201,心裡深處愛著你,0,0,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。然而，該文章未明確定義身體羞辱的範圍，因此可能會有歧視。,這篇文章是歧視胖子的文章。
202,性向變態的胖子真的噁心 家庭教育很重要,1,1,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。文章對於性向變態的胖子進行了負面評論，並且說家庭教育很重要，但這些評論和觀點被認為是具有冒犯性的，因此引起了歧視。,這篇文章是歧視胖子的類型。
203,只要你想就去問阿,0,0,0,0,這篇文章未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。這種行為可能會使被害者產生身體羞恥感，但並不一定有意傷害被害者。因此，身體羞辱的範圍從善意的建議到惡意的羞辱。,Q1 判斷無歧視
204,人受害，文青消費者多花點錢買到心理充實,0,0,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中加害者不請自來的對目標身體，表達負面意見或評論。然而，該文章提到人受害，文青消費者多花點錢買到心理充實，這種行為可能會使受害者感到身體羞恥或受到惡意的羞辱。因此，該文章可能會讓人認為消費者對受害者的評論是負面的，這樣就涉及到有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
205,女同志真的都不太優 看右1那個沒臉沒奶,2,1,1,1,這篇文章涉及有關於身體羞辱的歧視。該文章對於女性身體的評論包含負面意見，並且使用了惡意的標語來表達這些意見，這樣會使該評論具有冒犯性和負面性，因此涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
206,矮子吧 矮又胖 那會更難看 矮子會比較注意,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。該文章使用單純的負面評論來形容矮子和矮又胖的人，並且強調這些評論會使這些人產生身體羞恥感。這種行為可能會讓人覺得這些人被視為低級、無品或不可賴的，進而導致對這些人的偏見和歧視。因此，這篇文章可能會引起對矮子和矮又胖的人的负面評論和偏見。,這篇文章是歧視胖子的。
207,4叉貓超噁心的，甲胖子又愛自拍,1,1,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。因為甲胖子對於4叉貓的評論是負面的，且該評論使4叉貓產生身體羞恥感，這種行為符合惡意的身體羞辱定義。,這篇文章是歧視胖子的。
208,這種才棒 鳥仔腳提不起勁,2,1,0,0,這篇文章未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。然而，該行為可能使被害者產生身體羞恥感，並且從善意的建議到惡意的羞辱，因此身體羞辱的範圍從善意到惡意。,Q1 判斷無歧視
209,宅男肥肚=臭，噁，滾~,1,1,1,1,這篇文章涉及身體羞辱的歧視。該文章用詞「宅男肥肚」對目標身體進行負面評論，並且使用了詞語「臭」、「噁」、「滾」等，這些詞語通常被用來形容人或物，但這些詞的使用卻被視為對被評論者的冒犯或侮辱。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
210,中鳥仔腳 日O型腿 韓很假怪,2,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，該社會區域內的標籤和評論卻被用來形容一個特定的身體特徵，這種行為被認為是負面且具有冒犯性的。這種行為可能會讓被形容的身體內部感到羞恥或受到損害，因此屬於身體羞辱。,這篇文章是歧視胖子的類型。
211,電子部隊為國爭光,0,0,0,0,這篇文章未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。這種行為可能會使被害者產生身體羞恥感，但通常不會使加害者有意傷害被害者。因此，身體羞辱的範圍從善意的建議到惡意的羞辱。,Q1 判斷無歧視
212,波多野結衣 剛出道大軟奶 後期肥大腿,0,0,1,1,這篇文章涉及有關於身體羞辱的歧視。波多野結衣是一個日本歌手，剛出道時因為內部臉部大軟奶而受到惡意評論，後來又因為後期肥大腿而經常受到負面評論。這些評論可能對波多野結衣的身體造成負面影響，並且可能會讓她感到羞恥或受到冒犯。因此，這些行為符合身體羞辱的定義，並且可能會對波多野結衣的身體造成負面影響。,這篇文章是歧視胖子的類型。
213,一群爛咖,0,0,1,3,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，一群爛咖被描述為對目標身體表達負面意見或評論的行為，這種行為可能具有冒犯性或使受害者產生身體羞恥感。這種描述可能會讓讀者認為爛咖對目標身體的評論是惡意的，且這種行為是有意圖對受害者施加的。因此，這篇文章可能會引起讀者對爛咖行為的歧視。,這篇文章是歧視爛咖的。
214,又肥又醜又轉性，完全不知道美在哪,1,1,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於被評論者的身體進行了負面評論，並且使用了具有冒犯性的語言。這樣的行为可能會使被評論者感到身體羞恥和不滿。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
215,肥婆吧,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在身體羞辱定義中，身體是目標身體，而肥婆吧是一個對目標身體的負面評論。這種行為不符合身體羞辱的定義，並且可能對被評論者造成負面影響。因此，這種行為涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
216,這個太像骷髏人了，無法,2,1,0,0,這篇文章未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。因此，該行為的範圍從善意的建議到惡意的羞辱。,Q1 判斷無歧視
217,沒奶=沒有流量,2,1,0,0,這篇文章沒有涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。因此，身體羞辱的範圍從善意的建議到惡意的羞辱。,Q1 判斷無歧視
218,老闆不爽不要吃,0,0,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。因為該文章提到了“老闆不爽不要吃”，這個詞語卻被看做負面評論，且該評論卻是對一個人的，而不是對整個人的身體進行評論。這種情況下，該詞語被視為惡意的身體羞辱行為，且可能會對被羞辱的人產生身體羞恥感。,這篇文章是歧視胖子的類型。
219,肥宅肚沒有適合的防彈背心尺寸,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對肥宅肚進行了評論，並且建議他們穿適合的尺寸的防彈背心。然而，這種評論卻被說成是對肥宅肚的惡意羞辱，因此這種行為涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
220,窮人少子化買不買房，不重要,0,0,0,0,這篇文章未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中加害者不請自來對目標身體表達負面意見或評論。窮人少子化買不買房，並不是身體羞辱的範圍，因此這篇文章沒有涉及身體羞辱的歧視。,Q1 判斷無歧視
221,商標美學的問題,0,0,3,3,根據身體羞辱定義，商標美學的問題可能涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中加害者不請自來的對目標身體，表達負面意見或評論。因此，商標美學的問題可能會讓人認為商標的設計或使用涉及身體羞辱，甚至會對商標的目標客戶或消費者造成負面影響。,Q1 無法判斷
222,上半身跟非洲難民一樣瘦,2,1,1,2,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於上半身的形容詞使用了“跟非洲難民一樣瘦”的詞語，這種詞語將人們的身體當成物質的單純數據，而忽略了人們的個體特質和獨特的價值。這種詞語的使用可能會讓一些人感到冒犯和歧視，因為它將人們的身體當成無豐富意義的物質，而忽略了他們的個體特質和獨特的價值。因此，這篇文章可能會引起有關於身體羞辱的歧視。,這篇文章是歧視瘦子類型。
223,年終喔～,0,0,1,2,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。因為在這種行為中，加害者對目標身體表達負面意見或評論，並且這種行為是從善意到惡意的進行。這種行為可能會使被害者產生身體羞恥感，並且可能會對被害者的身體健康產生負面影響。因此，這種行為是具有歧視性的，特別是在這種情況下，加害者對目標身體的評論是負面、具有冒犯性的。,這篇文章是歧視瘦子的。
224,一個沒屌一個沒奶怎麼在一起,2,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，兩個人物都被描述為沒有身體，這使得讀者會有歧視的情緒，因為他們不知道這兩個人物是否有身體。這種情況符合身體羞辱的定義，因為在這種行為中，加害者不請自來對目標身體表達負面意見或評論。,這篇文章是歧視胖子的。
225,中年肥宅矮醜只能血汗高薪回收破貨,1,1,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中加害者不請自來的對目標身體，表達負面意見或評論。然而，該文章卻將中年肥宅矮醜形容為“只能血汗高薪回收破貨”，這種評論具有負面、具有冒犯性，且使該人產生身體羞恥感。因此，該文章涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
226,龍妹是什麼原因排最後？不好看而已,1,1,1,3,這篇文章涉及身體羞辱的歧視。文章說龍妹是什麼原因排最後？不好看而已。這裡的“不好看”是身體羞辱的行為，該行為使被該詞語指定的人感到負面和羞恥。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視龍妹的。
227,和平統一的可能性只有中國民主化，然後你,0,0,1,2,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對中國民主化進行了評論，並且說明民主化是一種身體羞辱，因為民主化可能會使中國成為一個負面的形象。這種評論對於中國的未來產生了負面影響，並且讓觀眾認為民主化是對中國的惡意行為。因此，該文章涉及有關於身體羞辱的歧視。,"這篇文章是一篇有身體羞辱歧視的文章，判斷該文章是哪種類型，只回答其中之一：

這篇文章是一篇歧視瘦子的文章。"
228,沒奶子沒屁股腿短，怎麼練？？？,2,1,1,2,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於某些身體部位進行了負面評論，並且使用了具有冒犯性的語言來表達。這種行為可能會使被評論者感到身體羞恥或受到冒犯，因此屬於身體羞辱。,這篇文章是歧視瘦子的。
229,幹，奇異博士二裡面有小奶肥婆,1,1,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於奇異博士二裡面的小奶肥婆做出了負面評論，這使得讀者們對於這個人物有了不同的意見。因此，這篇文章可能會引起歧視。,這篇文章是歧視胖子類型。
230,館長瘦皮猴喔,2,1,1,2,這篇文章涉及身體羞辱的歧視。在這篇文章中，館長對於瘦皮猴這個詞語表達出負面意見，這使得讀者對於館長的評論產生負面情緒，進而導致歧視。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視瘦子的文章。
231,肥婆在睡啦,1,1,0,0,這篇文章並未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中加害者不請自來的對目標身體，表達負面意見或評論。因此，身體羞辱的範圍從善意的建議到惡意的羞辱。,Q1 判斷無歧視
232,8+9爛工作沒身材沒學歷  還不是結婚生子,2,1,1,3,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。該文章描述了一個人缺乏某些權利和成就，並且以負面的方式評論他們，這種行為可能會使被評論者感到身體羞恥和受到冒犯。然而，這篇文章並未提供任何有關於這些權利和成就的詳細信息，因此可能無法完全解釋這些權利和成就的具體情況。此外，這篇文章中的描述可能會被視為對被評論者的冒犯，因為它們沒有提供任何有關於被評論者的實際情況的詳細信息。,這篇文章有身體羞辱歧視的情況。
233,正妹加分，龍妹請別穿無袖謝謝,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，正妹和龍妹被描述為不同的女性，並且被該詞彙用來指代不同的女性。這種使用該詞彙的行為可能會被視為有關於身體羞辱的歧視，因為它們將女性分為不同的類別，並且強調了這些類別的差異。此外，在這篇文章中，作者也使用了有關於身體羞辱的行為，例如說“請別穿無袖”，這也可能會被視為有關於身體羞辱的歧視，因為它們強調了無袖服的負面意見，並且暗示了這種服裝對身體的冒犯性。,這篇文章是歧視胖子的。
234,對了，神豬，都是處男,1,1,1,1,這篇文章涉及身體羞辱的歧視。在這篇文章中，作者對於「神豬」這個詞彙的使用，可能會讓一些讀者感到冒犯或歧視。因為這個詞彙在中文中通常被用來指代男性，而在這篇文章中，作者使用了這個詞彙來指代一個不屬於男性的人，這可能會讓一些讀者感到困惑或歧視。因此，這篇文章可能會引發有關於身體羞辱的歧視。,這篇文章是歧視胖子的。
235,我也是點這麼多 老闆說:你紙片人就吃這點?,2,1,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對於老闆對於紙片人吃這點的建議表示不同意，因為這可能被视为對於他們身體的負面評論。因此，這篇文章可能會讓一些人感到歧視，因為它們可能會認為作者對於紙片人的看法是偏見或不公正的。,這篇文章是歧視胖子的。
236,瘦排骨身材是贏過女性嗎?,2,1,1,2,這篇文章涉及有關於身體羞辱的歧視。瘦排骨身材可能被視為負面、具有冒犯性的評論，因為這種身材可能被視為缺乏肌肉和體質，而女性通常被視為需要健康和體質的身體。因此，這篇文章可能會使女性感到被冒犯或侮辱，並且可能會影響到女性的自信和自尊心。,這篇文章是歧視瘦子的。
237,最近有些女優都太瘦了 肋骨都跑出來QQ,0,0,1,2,這篇文章涉及身體羞辱的歧視。在這篇文章中，作者對女優的身體狀況表達了負面意見，並且使用了具有冒犯性的語言。這樣的行为可能會使女優感到身體羞恥和不安，並且可能會對她的形象和自尊心造成傷害。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視瘦子的。
238,肥婆神棍，幹,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，肥婆神棍被描述為一個負面的形象，這讓人們容易對這個形象产生歧視。此外，在這篇文章中，幹字被用來描述肥婆神棍的行為，這也讓人們容易對這個行為产生歧視。因此，根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
239,瘦皮猴還跟人學流氓 笑死,2,1,1,2,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，瘦皮猴被描述為學流氓，這樣的詞語和描述可能會讓一些人感到冒犯或歧視。此外，作者使用笑死這個詞語，也可能會讓一些人感到冒犯或歧視。因此，這篇文章可能會引起一些人的歧視或冒犯。,這篇文章是歧視瘦子的。
240,台灣值得更好 不要再讓藍綠掌控了,0,0,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。該文章表示，台灣應該更好，並且說明了藍綠掌控台灣的問題。然而，這篇文章並未提供任何建議或意見，而是直接提出了一個主題，並且未提供任何具體的資訊或實際案例來支持這個主題。因此，這篇文章可能會被視為對身體羞辱的惡意表達，因為它們直接提出了一個主題，並且未提供任何具體的資訊或實際案例來支持這個主題。,這篇文章是一篇有身體羞辱歧視的文章，判斷該文章是歧視胖子類型。
241,沒茶味沒奶味代表對了 自己泡過就知道,0,0,0,0,這篇文章未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。這種行為可能會使被害者產生身體羞恥感，但不一定有意傷害被害者。因此，身體羞辱的範圍從善意的建議到惡意的羞辱。,Q1 判斷無歧視
242,比腿還粗,0,0,1,1,根據身體羞辱定義，這篇文章涉及身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中加害者不請自來的對目標身體，表達負面意見或評論。然而，在這篇文章中，該詞彙被用來描述一個人，並且被用來形容他的身體，這樣就涉及到身體羞辱的歧視。,這篇文章是歧視胖子的類型。
243,屁股圓就行了，不要是扁的或塌的,2,1,1,2,這篇文章涉及身體羞辱的歧視。在這篇文章中，作者對於屁股的形狀提出了負面意見，並且強調了屁股圓的重要性。然而，這種意見卻被誤解為對於身體的羞辱，因為作者並未特別明確地指責任何特定的身體形狀。因此，這種行為可能被视为具有歧視性。,這篇文章是歧視瘦子的。
244,大腿很粗的，會被霸凌嗎？,1,1,0,0,這篇文章未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中加害者不請自來的對目標身體，表達負面意見或評論。因此，這篇文章沒有涉及身體羞辱的歧視。,Q1 判斷無歧視
245,又肥又醜,1,1,1,1,根據身體羞辱定義，這篇文章涉及有關於身體羞辱的歧視。該文章描述了一個人既肥又醜，並且該描述被該人認為是負面、具有冒犯性和使其產生身體羞恥感。這種行為被視為身體羞辱，因為它們是加害者對目標身體表達負面意見或評論的方式。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
246,肥宅那中年肥肚有臉說人家XD,1,1,1,1,這篇文章涉及身體羞辱的歧視。在這篇文章中，作者對肥宅這個詞語進行了使用，並且使用了XD這個表情符號來表達對肥宅的負面評論。這種行為可能會被認為具有冒犯性和侮辱性，因此可能涉及身體羞辱的歧視。,這篇文章是歧視胖子的類型。
247,是因為山豬在刮 所以你也跟著刮嗎,0,0,0,0,這篇文章沒有涉及身體羞辱的歧視。因為它們只是一個對話的問題，並沒有表達任何負面意見或評論。,Q1 判斷無歧視
248,所以才走到公投這步逼民進黨繼續完成,0,0,0,0,這篇文章未涉及有關於身體羞辱的歧視。身體羞辱是一種非重複性行為，在這種行為中，加害者不請自來對目標身體表達負面意見或評論。這種行為可能會使被害者產生身體羞恥感，但並不一定有意傷害被害者。因此，身體羞辱的範圍從善意的建議到惡意的羞辱，並且與政治投票無關。,Q1 判斷無歧視
249,有些胖子人格真的很噁心,1,1,1,1,這篇文章涉及有關於身體羞辱的歧視。在這篇文章中，作者對某些胖子的人格進行了負面評論，並且使用了噁心這個詞來表達他們的意見。這種行為不符合身體羞辱的定義，因為身體羞辱是一種非重複性行為，加害者不請自來的對目標身體，表達負面意見或評論。因此，這篇文章涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
250,阿北可以告セクハラ,0,0,1,1,根據身體羞辱定義，該文章涉及有關於身體羞辱的歧視。由於文章中提到“阿北可以告セクハラ”，這個詞語的含義可能會被理解為對阿北的惡意評論，因此該文章可能會被視為涉及有關於身體羞辱的歧視。,這篇文章是歧視胖子的類型。
